trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
9678333254.386112,11764090813.493597,12259655090.78258,10509999902.450003,10709999901.450003,9144090826.593597,10724999901.375004,12564655089.257582,10094999904.525003,12684999891.575003,11259230687.194971,11127820446.59627,11184999899.075005,11074999899.625004,11249999898.750004,10553333250.011112,12329999893.350002,10969090817.468597,10008235229.71661,11554655094.30758,11964999895.175003,9673333254.411112,10259999903.700003,8064655111.757581,9873333253.411114,12243333241.561111,10983333247.861113,12560161209.935926,9454999907.725004,10199999904.000004
